Number of cities,Optimal route,Optimal distance,Optimal fitness,Duration (in ms),PopulationSize,Number of generation,Mutation rate,Tournament selection size,Number of elite routes
100,Lagos / Johannesburg / Kinshasa / Jakarta / Lahore / Ahmadabad / Hanoi / Chicago / Bengaluru / Osaka / Taipei / Tianjin / Dongguan / Tokyo / Hechi / San Francisco / Miami / Recife / Melbourne / Shenyang / Atlanta / Boston / Yokohama / Philadelphia / Barcelona / Berlin / Shenzhen / Bangkok / Nanjing / Shanghai / Phoenix / Brasilia / Bogota / Pyongyang / Rangoon / Fortaleza / Madrid / Karachi / Cairo / Paris / Toronto / Salvador / Dhaka / Busan / Manila / Wuhan / Surat / Santiago / Dallas / Guiyang / Houston / Alexandria / Ankara / Xi'an / Ho Chi Minh City / Seattle / Zhangzhou / Chengdu / Sydney / Sao Paulo / Detroit / Haora / Abidjan / Montreal / Pune / Buenos Aires / Lima / Washington / Chongqing / Delhi / Hyderabad / Istanbul / Guangzhou / Los Angeles / Guadalajara / Rio de Janeiro / Belo Horizonte / London / Porto Alegre / Chittagong / Singapore / Seoul / Monterrey / Beijing / Khartoum / Riyadh / Chennai / New York / Mexico City / Hong Kong / Rome / Tehran / Saint Petersburg / Algiers / Mumbai / Harbin / Kolkata / Baghdad / Luanda / Moscow / Lagos,705356.896080528,0.001417722014992299,4959,20,10000,0.0,14,2
100,Xi'an / Barcelona / London / Johannesburg / Mumbai / Fortaleza / Haora / Melbourne / Hanoi / Manila / Sydney / Buenos Aires / San Francisco / Miami / Belo Horizonte / Seoul / Karachi / Osaka / Salvador / Sao Paulo / Philadelphia / Recife / Phoenix / Madrid / Lagos / Rio de Janeiro / Luanda / Dhaka / Abidjan / Berlin / Kinshasa / Beijing / Chongqing / Busan / Cairo / Bangkok / Houston / Toronto / Istanbul / Brasilia / Pune / Harbin / Seattle / Dongguan / New York / Porto Alegre / Boston / Detroit / Monterrey / Chicago / Montreal / Nanjing / Saint Petersburg / Taipei / Tianjin / Alexandria / Baghdad / Jakarta / Pyongyang / Tokyo / Guiyang / Delhi / Mexico City / Shenzhen / Rangoon / Zhangzhou / Hechi / Washington / Algiers / Lima / Riyadh / Khartoum / Guadalajara / Shenyang / Rome / Los Angeles / Dallas / Atlanta / Chittagong / Paris / Wuhan / Moscow / Ankara / Singapore / Hyderabad / Chennai / Shanghai / Guangzhou / Chengdu / Bengaluru / Surat / Lahore / Ahmadabad / Santiago / Bogota / Yokohama / Kolkata / Hong Kong / Ho Chi Minh City / Tehran / Xi'an,683818.2830355689,0.0014623768109282695,4918,20,10000,0.0,14,2
100,Rome / Hanoi / Berlin / Luanda / Recife / Toronto / Fortaleza / Baghdad / Salvador / Atlanta / Lagos / Algiers / Chengdu / Osaka / Karachi / Seoul / Porto Alegre / Pune / Belo Horizonte / Pyongyang / Dongguan / Harbin / Moscow / Hechi / Shenzhen / Chicago / Monterrey / Santiago / Shanghai / Guangzhou / Taipei / Chongqing / Guiyang / Detroit / Tianjin / Delhi / Saint Petersburg / New York / Bangkok / Kolkata / Surat / Washington / Cairo / Zhangzhou / Istanbul / Shenyang / Phoenix / Bogota / Jakarta / Tehran / Lahore / Rangoon / Nanjing / Hyderabad / Yokohama / Melbourne / Xi'an / Ho Chi Minh City / Singapore / Bengaluru / Kinshasa / Miami / Tokyo / Sydney / Buenos Aires / Chennai / Lima / Boston / Philadelphia / Madrid / Riyadh / Barcelona / Wuhan / Dallas / Brasilia / Los Angeles / San Francisco / Alexandria / Mumbai / Johannesburg / Abidjan / Dhaka / London / Hong Kong / Rio de Janeiro / Ankara / Beijing / Manila / Montreal / Seattle / Khartoum / Paris / Busan / Haora / Mexico City / Guadalajara / Sao Paulo / Houston / Ahmadabad / Chittagong / Rome,761084.5526909367,0.0013139144612308044,4788,20,10000,0.0,14,2
100,Sydney / Harbin / Seattle / Boston / Berlin / Brasilia / Ankara / Hong Kong / Paris / Hanoi / Busan / Lima / Tokyo / Chengdu / Chicago / Houston / Algiers / Rio de Janeiro / Porto Alegre / Buenos Aires / Karachi / Tianjin / Seoul / San Francisco / Philadelphia / Washington / Rangoon / Istanbul / Atlanta / Dallas / Chongqing / Surat / Guangzhou / Miami / Lagos / Delhi / Shenzhen / Phoenix / Riyadh / Madrid / Johannesburg / Fortaleza / Jakarta / Mexico City / Bogota / Belo Horizonte / Baghdad / Wuhan / Santiago / Sao Paulo / Dhaka / Salvador / Bangkok / Khartoum / Hechi / Xi'an / Shanghai / Manila / Ho Chi Minh City / Kolkata / Detroit / Singapore / Zhangzhou / Nanjing / Bengaluru / Haora / Chittagong / Recife / Alexandria / New York / Los Angeles / Abidjan / Kinshasa / Osaka / Yokohama / Moscow / Mumbai / Toronto / Saint Petersburg / Barcelona / Rome / Pyongyang / Taipei / Chennai / Beijing / Guadalajara / Monterrey / Guiyang / Luanda / Dongguan / Shenyang / Tehran / Hyderabad / Melbourne / Montreal / Lahore / Ahmadabad / Pune / Cairo / London / Sydney,739681.967079194,0.0013519323770305395,4726,20,10000,0.0,14,2
100,Washington / Porto Alegre / Montreal / Alexandria / Bangkok / Manila / Abidjan / Phoenix / Guiyang / Singapore / Chittagong / Johannesburg / Pyongyang / Bengaluru / Fortaleza / Miami / Rome / Chengdu / Tehran / Ahmadabad / Hyderabad / Detroit / Monterrey / Luanda / Seoul / Tokyo / Nanjing / Dallas / Mexico City / Buenos Aires / Algiers / Shanghai / Ho Chi Minh City / Paris / Boston / London / Guadalajara / Lagos / Beijing / Atlanta / Baghdad / Jakarta / Belo Horizonte / Zhangzhou / Brasilia / Khartoum / Salvador / Chicago / Toronto / Berlin / Kinshasa / Barcelona / Seattle / Tianjin / Chongqing / Xi'an / Hechi / Santiago / Dhaka / Karachi / Pune / Hong Kong / Chennai / Philadelphia / Taipei / Harbin / San Francisco / Moscow / Riyadh / Lahore / Shenzhen / Istanbul / Recife / Sao Paulo / Surat / Shenyang / Guangzhou / Melbourne / Haora / Osaka / Sydney / Dongguan / Yokohama / Los Angeles / Houston / New York / Hanoi / Wuhan / Mumbai / Kolkata / Saint Petersburg / Madrid / Rangoon / Cairo / Bogota / Ankara / Lima / Delhi / Busan / Rio de Janeiro / Washington,762774.3919583494,0.0013110036342890285,4901,20,10000,0.0,14,2
100,Jakarta / Zhangzhou / Guiyang / Hyderabad / Nanjing / Chongqing / Singapore / Baghdad / Montreal / Washington / Sao Paulo / Hanoi / Pune / Lahore / Ho Chi Minh City / Algiers / Ahmadabad / Belo Horizonte / Ankara / Lima / London / Alexandria / Riyadh / Seattle / Guadalajara / Detroit / Melbourne / Kolkata / Seoul / Harbin / Cairo / Toronto / Kinshasa / Paris / Salvador / Lagos / Brasilia / Tehran / Buenos Aires / Bogota / Dallas / Surat / Berlin / Miami / Recife / Shenyang / Rangoon / Madrid / Tianjin / Tokyo / Haora / Wuhan / Houston / Hechi / Dongguan / Istanbul / Barcelona / Chittagong / Boston / Abidjan / Monterrey / Chicago / Mexico City / Taipei / Moscow / Pyongyang / Saint Petersburg / Delhi / Guangzhou / Khartoum / Shenzhen / Dhaka / San Francisco / Sydney / Bengaluru / Porto Alegre / Osaka / Fortaleza / Rome / Santiago / Rio de Janeiro / Johannesburg / Atlanta / Mumbai / Manila / Busan / Hong Kong / Phoenix / Shanghai / Chennai / Karachi / Yokohama / Philadelphia / Los Angeles / New York / Xi'an / Beijing / Bangkok / Luanda / Chengdu / Jakarta,743266.7501504903,0.0013454119934700813,4721,20,10000,0.0,14,2
100,Guadalajara / Boston / Porto Alegre / Chongqing / Chengdu / Lagos / Chennai / Saint Petersburg / Shenzhen / Xi'an / Pune / Los Angeles / Taipei / Buenos Aires / Philadelphia / Berlin / Madrid / Jakarta / Cairo / Kinshasa / Zhangzhou / Pyongyang / Bengaluru / Seoul / Surat / Rangoon / Luanda / Tokyo / Sao Paulo / Houston / Atlanta / Dongguan / Shanghai / Busan / Sydney / Singapore / Manila / London / Lahore / Harbin / Belo Horizonte / Detroit / Recife / Monterrey / Beijing / Mumbai / Ho Chi Minh City / Rio de Janeiro / Mexico City / Miami / New York / Baghdad / Barcelona / Hong Kong / Alexandria / Abidjan / Moscow / Seattle / Salvador / Bogota / Paris / Dhaka / Santiago / Hyderabad / Osaka / Kolkata / Melbourne / Hanoi / Fortaleza / San Francisco / Washington / Tianjin / Hechi / Delhi / Chittagong / Haora / Yokohama / Montreal / Tehran / Istanbul / Guangzhou / Riyadh / Guiyang / Shenyang / Phoenix / Karachi / Bangkok / Ankara / Algiers / Chicago / Dallas / Lima / Rome / Wuhan / Nanjing / Ahmadabad / Brasilia / Khartoum / Johannesburg / Toronto / Guadalajara,744084.4766954074,0.0013439334260017793,4825,20,10000,0.0,14,2
100,Salvador / Chicago / Santiago / Brasilia / Algiers / Luanda / Haora / Porto Alegre / Lima / Xi'an / Bangkok / Detroit / Madrid / Chongqing / Los Angeles / Alexandria / Karachi / Tehran / Chittagong / Dongguan / Guiyang / Harbin / Toronto / Delhi / Bengaluru / Tianjin / Lahore / Busan / Hechi / Shenyang / Shanghai / Monterrey / Dhaka / Belo Horizonte / Chengdu / New York / San Francisco / Barcelona / Berlin / Mexico City / Hong Kong / Moscow / Baghdad / Singapore / Sydney / Paris / Chennai / Hyderabad / Houston / Ankara / Seattle / Fortaleza / Boston / Nanjing / Lagos / Surat / Mumbai / Johannesburg / Buenos Aires / Melbourne / Guangzhou / Miami / Abidjan / Cairo / Taipei / Sao Paulo / Jakarta / Wuhan / Istanbul / Kolkata / Saint Petersburg / London / Atlanta / Zhangzhou / Rome / Khartoum / Beijing / Montreal / Philadelphia / Rio de Janeiro / Ahmadabad / Kinshasa / Pune / Ho Chi Minh City / Rangoon / Osaka / Guadalajara / Bogota / Recife / Washington / Riyadh / Yokohama / Tokyo / Shenzhen / Pyongyang / Manila / Hanoi / Dallas / Phoenix / Seoul / Salvador,758392.7953053425,0.0013185779271510378,4797,20,10000,0.0,14,2
100,Ho Chi Minh City / Chittagong / Lagos / Barcelona / Guadalajara / Singapore / Busan / Manila / Yokohama / Dongguan / Baghdad / Johannesburg / Rio de Janeiro / Fortaleza / Wuhan / Karachi / Saint Petersburg / Bangkok / Seoul / Khartoum / Shanghai / Madrid / Ankara / Detroit / Riyadh / Paris / Miami / Sydney / Monterrey / Montreal / Belo Horizonte / Chennai / Delhi / Boston / Moscow / Hong Kong / Tehran / Buenos Aires / Sao Paulo / Alexandria / Abidjan / Cairo / Chengdu / Guiyang / Brasilia / Santiago / Guangzhou / Tokyo / Taipei / Phoenix / Melbourne / Seattle / Lima / Kinshasa / London / Shenyang / Istanbul / Atlanta / Bengaluru / Kolkata / Pune / Algiers / Beijing / Washington / Recife / New York / Luanda / Salvador / Xi'an / Hechi / Houston / Harbin / Pyongyang / Lahore / Philadelphia / Osaka / Bogota / Rome / Chicago / Berlin / Mexico City / Tianjin / Jakarta / Zhangzhou / Hyderabad / Shenzhen / Los Angeles / Hanoi / Surat / Haora / Dhaka / Toronto / Dallas / San Francisco / Porto Alegre / Mumbai / Chongqing / Rangoon / Ahmadabad / Nanjing / Ho Chi Minh City,746459.7794151319,0.0013396569079495784,4939,20,10000,0.0,14,2
100,Recife / Barcelona / Dallas / Atlanta / Dongguan / Paris / Bangkok / Algiers / Riyadh / Guiyang / Miami / Beijing / Toronto / Tehran / Tianjin / Taipei / Rio de Janeiro / Mumbai / Hyderabad / Pyongyang / Bengaluru / New York / Sao Paulo / Fortaleza / Monterrey / Detroit / Houston / Sydney / Chongqing / Seattle / Boston / Kolkata / Nanjing / Shenzhen / Harbin / Berlin / Jakarta / Wuhan / Hanoi / Xi'an / Washington / Zhangzhou / Rangoon / Singapore / San Francisco / Mexico City / Los Angeles / Lahore / Chennai / Hong Kong / Porto Alegre / Phoenix / London / Cairo / Hechi / Osaka / Ahmadabad / Ankara / Lima / Brasilia / Bogota / Buenos Aires / Montreal / Rome / Guangzhou / Busan / Chicago / Yokohama / Haora / Istanbul / Alexandria / Manila / Chengdu / Surat / Delhi / Chittagong / Salvador / Luanda / Philadelphia / Johannesburg / Madrid / Seoul / Shanghai / Guadalajara / Saint Petersburg / Pune / Melbourne / Dhaka / Moscow / Khartoum / Tokyo / Lagos / Belo Horizonte / Santiago / Kinshasa / Abidjan / Baghdad / Ho Chi Minh City / Shenyang / Karachi / Recife,709891.8777569872,0.0014086652225965089,4900,20,10000,0.0,14,2
