NbOfCities,Optimal distance,Sequencing,Duration (in ms)
10,43813.30888311807,Mumbai / Sao Paulo / New York / Mexico City / Los Angeles / Tokyo / Shanghai / Dhaka / Kolkata / Delhi / Mumbai,17488
10,43813.30888311807,Dhaka / Shanghai / Tokyo / Los Angeles / Mexico City / New York / Sao Paulo / Mumbai / Delhi / Kolkata / Dhaka,12808
10,43813.30888311807,Dhaka / Shanghai / Tokyo / Los Angeles / Mexico City / New York / Sao Paulo / Mumbai / Delhi / Kolkata / Dhaka,12528
10,43813.30888311807,Dhaka / Shanghai / Tokyo / Los Angeles / Mexico City / New York / Sao Paulo / Mumbai / Delhi / Kolkata / Dhaka,15003
10,43813.30888311807,Dhaka / Shanghai / Tokyo / Los Angeles / Mexico City / New York / Sao Paulo / Mumbai / Delhi / Kolkata / Dhaka,18250
20,55473.58702927043,Dhaka / Kolkata / Delhi / Mumbai / Karachi / Cairo / Istanbul / Moscow / Paris / New York / Rio de Janeiro / Sao Paulo / Buenos Aires / Mexico City / Los Angeles / Tokyo / Osaka / Beijing / Shanghai / Manila / Dhaka,14361
20,55473.58702927043,Shanghai / Beijing / Osaka / Tokyo / Los Angeles / Mexico City / Buenos Aires / Sao Paulo / Rio de Janeiro / New York / Paris / Moscow / Istanbul / Cairo / Karachi / Mumbai / Delhi / Kolkata / Dhaka / Manila / Shanghai,17886
20,55473.58702927043,Tokyo / Los Angeles / Mexico City / Buenos Aires / Sao Paulo / Rio de Janeiro / New York / Paris / Moscow / Istanbul / Cairo / Karachi / Mumbai / Delhi / Kolkata / Dhaka / Manila / Shanghai / Beijing / Osaka / Tokyo,15047
20,55473.58702927043,Buenos Aires / Sao Paulo / Rio de Janeiro / New York / Paris / Moscow / Istanbul / Cairo / Karachi / Mumbai / Delhi / Kolkata / Dhaka / Manila / Shanghai / Beijing / Osaka / Tokyo / Los Angeles / Mexico City / Buenos Aires,18169
20,55473.58702927043,Buenos Aires / Mexico City / Los Angeles / Tokyo / Osaka / Beijing / Shanghai / Manila / Dhaka / Kolkata / Delhi / Mumbai / Karachi / Cairo / Istanbul / Moscow / Paris / New York / Rio de Janeiro / Sao Paulo / Buenos Aires,17947
30,64641.65746442042,Chicago / New York / London / Paris / Moscow / Beijing / Seoul / Tokyo / Osaka / Shanghai / Guangzhou / Manila / Jakarta / Dhaka / Kolkata / Delhi / Mumbai / Karachi / Tehran / Istanbul / Cairo / Kinshasa / Lagos / Rio de Janeiro / Sao Paulo / Buenos Aires / Lima / Bogota / Mexico City / Los Angeles / Chicago,68206
30,65733.75720280103,Kolkata / Delhi / Mumbai / Karachi / Tehran / Cairo / Istanbul / Moscow / Paris / London / New York / Chicago / Los Angeles / Mexico City / Bogota / Lima / Buenos Aires / Sao Paulo / Rio de Janeiro / Lagos / Kinshasa / Jakarta / Manila / Guangzhou / Shanghai / Osaka / Tokyo / Seoul / Beijing / Dhaka / Kolkata,36634
30,64641.65746442041,Moscow / Beijing / Seoul / Tokyo / Osaka / Shanghai / Guangzhou / Manila / Jakarta / Dhaka / Kolkata / Delhi / Mumbai / Karachi / Tehran / Istanbul / Cairo / Kinshasa / Lagos / Rio de Janeiro / Sao Paulo / Buenos Aires / Lima / Bogota / Mexico City / Los Angeles / Chicago / New York / London / Paris / Moscow,90705
30,64887.7876975525,Cairo / Kinshasa / Lagos / Rio de Janeiro / Sao Paulo / Buenos Aires / Lima / Bogota / New York / Chicago / Mexico City / Los Angeles / Tokyo / Osaka / Seoul / Beijing / Shanghai / Guangzhou / Manila / Jakarta / Dhaka / Kolkata / Delhi / Mumbai / Karachi / Tehran / Moscow / London / Paris / Istanbul / Cairo,20652
30,64850.97287105433,Lagos / Kinshasa / Cairo / Tehran / Karachi / Mumbai / Delhi / Kolkata / Dhaka / Jakarta / Manila / Guangzhou / Shanghai / Osaka / Tokyo / Seoul / Beijing / Moscow / Istanbul / Paris / London / New York / Chicago / Los Angeles / Mexico City / Bogota / Lima / Buenos Aires / Sao Paulo / Rio de Janeiro / Lagos,36492
40,69681.14011926895,Shenzhen / Guangzhou / Chongqing / Wuhan / Taipei / Shanghai / Tianjin / Beijing / Seoul / Osaka / Tokyo / Los Angeles / Mexico City / Chicago / New York / Bogota / Lima / Buenos Aires / Sao Paulo / Rio de Janeiro / Lagos / Kinshasa / Cairo / Istanbul / Paris / London / Moscow / Tehran / Karachi / Mumbai / Bengaluru / Chennai / Lahore / Delhi / Kolkata / Dhaka / Bangkok / Jakarta / Manila / Hong Kong / Shenzhen,34513
40,68165.324708644,Osaka / Taipei / Guangzhou / Shenzhen / Hong Kong / Manila / Jakarta / Bangkok / Chennai / Bengaluru / Mumbai / Karachi / Tehran / Istanbul / Cairo / Kinshasa / Lagos / Rio de Janeiro / Sao Paulo / Buenos Aires / Lima / Bogota / Mexico City / Los Angeles / Chicago / New York / London / Paris / Moscow / Lahore / Delhi / Kolkata / Dhaka / Chongqing / Wuhan / Shanghai / Tianjin / Beijing / Seoul / Tokyo / Osaka,121900
40,68657.84853268736,Tokyo / Osaka / Shanghai / Taipei / Manila / Jakarta / Bangkok / Dhaka / Kolkata / Chennai / Bengaluru / Mumbai / Karachi / Tehran / Istanbul / Cairo / Kinshasa / Lagos / Rio de Janeiro / Sao Paulo / Buenos Aires / Lima / Bogota / Mexico City / Los Angeles / Chicago / New York / London / Paris / Moscow / Lahore / Delhi / Chongqing / Guangzhou / Hong Kong / Shenzhen / Wuhan / Beijing / Tianjin / Seoul / Tokyo,49781
40,69048.410482332,Mexico City / Chicago / New York / Bogota / Lima / Buenos Aires / Sao Paulo / Rio de Janeiro / Kinshasa / Lagos / Paris / London / Moscow / Istanbul / Cairo / Tehran / Karachi / Lahore / Delhi / Mumbai / Bengaluru / Chennai / Kolkata / Dhaka / Bangkok / Jakarta / Manila / Hong Kong / Shenzhen / Guangzhou / Taipei / Shanghai / Wuhan / Chongqing / Beijing / Tianjin / Seoul / Osaka / Tokyo / Los Angeles / Mexico City,41765
40,68339.53028328934,Cairo / Istanbul / Tehran / Lahore / Delhi / Kolkata / Dhaka / Chongqing / Wuhan / Beijing / Tianjin / Seoul / Tokyo / Osaka / Shanghai / Taipei / Guangzhou / Shenzhen / Hong Kong / Manila / Jakarta / Bangkok / Chennai / Bengaluru / Mumbai / Karachi / Moscow / Paris / London / New York / Chicago / Los Angeles / Mexico City / Bogota / Lima / Buenos Aires / Sao Paulo / Rio de Janeiro / Lagos / Kinshasa / Cairo,34498
